channelTitle,videoId,channelId,title,viewCount,likeCount,dislikeCount,commentCount,time,commentScore
nptelhrd,s4CN6aVKhPo,UC640y4UvDAlya_WOj5U4pfA,Mod-01 Lec-01 Review of Basic Structural Analysis I,287244,1161,46,36,3142,0.42196
nptelhrd,7Z3LE5uM-6Y,UC640y4UvDAlya_WOj5U4pfA,Lecture-01 Signals,217716,441,25,31,1776,0.00896
nptelhrd,Z_8MpZeMdD4,UC640y4UvDAlya_WOj5U4pfA,Mod-01 Lec-38 Genetic Algorithms,176508,816,42,61,3292,0.71608
nptelhrd,D-9M3GWoBrw,UC640y4UvDAlya_WOj5U4pfA,Superconductivity,100037,792,46,42,3107,0.13802
nptelhrd,KBe1d8BdjqQ,UC640y4UvDAlya_WOj5U4pfA,Maxwell Boltzmann Statistics,93684,658,35,51,3289,0.29992
nptelhrd,e73sb5pyriQ,UC640y4UvDAlya_WOj5U4pfA,Mod-01 Lec-01 An Overview of a Compiler,162372,184,20,20,3354,0.0433
nptelhrd,f8RvFlr5wRk,UC640y4UvDAlya_WOj5U4pfA,Mod-01 Lec-01 Introduction to Information Theory  and Coding,98577,215,17,25,3174,-0.01892
nptelhrd,70gLa0-1Rho,UC640y4UvDAlya_WOj5U4pfA,Lec-1 Introduction to Power System Stability Problem-Part-1,121097,363,30,43,3128,0.18016
nptelhrd,oA4JRcF_3nI,UC640y4UvDAlya_WOj5U4pfA,Lec-30 Compensator Design Using Root Locus Plots,143757,677,18,62,3316,0.57672
nptelhrd,vVFDm__CdQw,UC640y4UvDAlya_WOj5U4pfA,Lec-1 Introduction to control problem,509271,1457,51,89,2023,0.2854
nptelhrd,I2nrBITEVls,UC640y4UvDAlya_WOj5U4pfA,Mod-1 Lec-5 Zener Diode and Applications,77524,179,12,20,3680,0.15594
nptelhrd,v1qw-ttBOdA,UC640y4UvDAlya_WOj5U4pfA,Lec-1 Structure of Materials Part-I,72635,210,16,13,3580,0.44606
nptelhrd,ksR4Xy6tFcM,UC640y4UvDAlya_WOj5U4pfA,Lec-13 Total Quality Management,75127,402,16,11,3442,0.38014
nptelhrd,Fa8E3tCDIpo,UC640y4UvDAlya_WOj5U4pfA,Lec-1 Nature and Scope of HRM,136068,470,34,25,3221,0.2623
nptelhrd,ziHfSkOhAmg,UC640y4UvDAlya_WOj5U4pfA,"Lec-9 Primal Dual Relationships, Duality Theorems",106408,288,9,25,3097,0.4176
nptelhrd,AyRgeA65oI0,UC640y4UvDAlya_WOj5U4pfA,Design for Torsion,66407,266,15,6,3246,0.24582
nptelhrd,hxakW1miEcM,UC640y4UvDAlya_WOj5U4pfA,Design of Staircases,598911,2090,191,115,3172,0.05174
nptelhrd,8ATp13mOhvg,UC640y4UvDAlya_WOj5U4pfA,Design of Footings Part - I,284852,1159,94,64,3226,0.36002
nptelhrd,MkFbC74H0mo,UC640y4UvDAlya_WOj5U4pfA,Design of Slabs Part - V,128527,264,16,34,3203,0.3997
nptelhrd,wJWt0dcgafs,UC640y4UvDAlya_WOj5U4pfA,Design of Columns Part - I,389771,1205,105,55,3125,0.11838
nptelhrd,p6aDP4ycISM,UC640y4UvDAlya_WOj5U4pfA,Design of Columns Part - II,124967,327,24,27,3110,0.01082
nptelhrd,GgatFNtQrBo,UC640y4UvDAlya_WOj5U4pfA,Design of Slabs Part - III,101243,280,14,14,3252,0.51352
nptelhrd,PDJPcQq3PZE,UC640y4UvDAlya_WOj5U4pfA,Design of Slabs Part - 1,520974,1812,114,96,3169,0.52162
nptelhrd,iT2pjfYbyZg,UC640y4UvDAlya_WOj5U4pfA,Limit State of Collapse Shear,89403,295,24,10,3311,0.16782
nptelhrd,0fTvE8aSsiE,UC640y4UvDAlya_WOj5U4pfA,Design of Doubly Reinforced Beam Flexure - I,203535,610,52,37,3373,-0.09534
nptelhrd,j-7aVssJk8I,UC640y4UvDAlya_WOj5U4pfA,Working Stress Method,283623,1039,76,66,3118,-0.01072
nptelhrd,D1m2K-zybf0,UC640y4UvDAlya_WOj5U4pfA,Working Stress Method (Contd...),132341,361,25,40,3154,0.2161
nptelhrd,ba3mZhOpsTM,UC640y4UvDAlya_WOj5U4pfA,Different Methods of Design of Reinforced Concrete Structures,269484,910,37,62,3187,0.1902
nptelhrd,pIdaC_I6H_M,UC640y4UvDAlya_WOj5U4pfA,Introduction - I,782139,3249,115,190,3309,0.32516
nptelhrd,3Do2cZMUGYc,UC640y4UvDAlya_WOj5U4pfA,Materials,219675,797,33,55,3218,0.0681
nptelhrd,K7VIKlUdo20,UC640y4UvDAlya_WOj5U4pfA,Lec-17 Linked Lists-I,336076,885,52,68,2529,0.16184
